"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",326.81024019965,0.183093077298543,0.440148705187953,0.415980042972882,0.677424606787107,0.899442173990157,NA,NA
"FBgn0000003",430.100871272352,-0.386513542537426,0.182667089753078,-2.11594514950613,0.0343494728609256,0.232088349536018,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",154.105549821796,-0.580577580639396,0.533761910977296,-1.08770889922884,0.276723637811152,0.653368286956194,"protein_coding","a"
"FBgn0000014",111.83247813369,-0.037020226911196,0.340166689396389,-0.108829665176466,0.913337594149892,0.98159661905313,"protein_coding","abd-A"
"FBgn0000015",219.247708383048,0.061002489293497,0.247259944100533,0.246713997754097,0.805129572736775,0.947691592297851,"protein_coding","Abd-B"
"FBgn0000017",952.712658606459,-0.12697874210302,0.10668691506664,-1.19019977308094,0.23396788236811,0.618957672180587,"protein_coding","Abl"
"FBgn0000018",331.511399100215,0.119713089980089,0.113733703447834,1.05257356747376,0.292536476911232,0.668335420270798,"protein_coding","abo"
"FBgn0000024",2495.88727141539,-0.233928632915377,0.26257379238692,-0.890906250729957,0.372979466648591,0.730872520169105,"protein_coding","Ace"
"FBgn0000032",898.511724927814,0.0824398822566539,0.135184549554382,0.609832133393986,0.541973013027487,0.844656377703743,"protein_coding","Acph-1"
"FBgn0000042",126893.343445856,-0.483362830117788,0.242989910003246,-1.98923004708851,0.0466758168257713,0.272942150968364,"protein_coding","Act5C"
"FBgn0000043",5078.8756223203,-1.42599194152507,0.798251388322537,-1.78639456490226,0.0740353950229449,0.359434406420232,"protein_coding","Act42A"
"FBgn0000044",10749.2163507712,-0.12863240063315,0.183480988793127,-0.701066641722659,0.483261427044998,0.812116465417557,"protein_coding","Act57B"
"FBgn0000045",162.647463577389,0.575864861201683,0.241660954729836,2.38294540318054,0.017174741301702,0.154588342099717,"protein_coding","Act79B"
"FBgn0000046",1224.58896055436,0.131175724170007,0.235360382850895,0.557339865703351,0.577295242899645,0.861002935353818,"protein_coding","Act87E"
"FBgn0000047",41.7478681952178,1.58066017559397,0.986754528718299,1.60187780201738,0.10918263407876,0.431945165193793,"protein_coding","Act88F"
"FBgn0000052",1315.05463567464,0.369443640528735,0.197925668027084,1.86657771178107,0.0619605824810374,0.325821506490103,"protein_coding","Pfas"
"FBgn0000053",1288.97176890617,0.340426940498075,0.149023789705376,2.28437983741461,0.0223492174824527,0.181910091142241,"protein_coding","Gart"
"FBgn0000055",10740.5024125797,0.583798789522103,0.301824934341412,1.93422982364251,0.0530848770802352,0.294534483912553,"protein_coding","Adh"
"FBgn0000056",104.650260273851,0.709620247432047,0.440593855491314,1.61059950924812,0.107267040863145,0.429285743657171,"protein_coding","Adhr"
"FBgn0000057",603.104477074462,-0.0633666430526279,0.111418210109655,-0.568727885596654,0.569540820596094,0.855650807049912,"protein_coding","adp"
"FBgn0000063",16.7081566917374,-0.168234585149876,0.662020596213446,-0.25412288697984,0.799400622372164,0.945415573525178,"protein_coding","Mps1"
"FBgn0000064",27351.1262551682,0.24819380992101,0.109107984234429,2.27475387491114,0.0229206986199447,0.184370834508432,"protein_coding","Ald1"
"FBgn0000075",134.427754966501,0.133420195050968,0.178713318572161,0.746559887740517,0.455329268933094,0.795748603196738,"protein_coding","amd"
"FBgn0000077",317.937260964861,-0.058090248737298,0.15101334576866,-0.384669635929313,0.700482194347731,0.908815842445133,"protein_coding","amx"
"FBgn0000078",46747.5312354069,0.741896080304726,0.58665007447233,1.26463135792156,0.20600350666188,0.583972584258463,"protein_coding","Amy-d"
"FBgn0000079",507439.777014531,0.490409565214927,0.145246810456668,3.37638784406377,0.000734443086521326,0.0195818406717105,"protein_coding","Amy-p"
