"","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",7.44681886527556e-39,1.93323337120904e-36,NA,NA
"FBgn0000015",0.00301463640837847,0.0171408577340943,"protein_coding","Abd-B"
"FBgn0000017",0.00726889585760445,0.0351680518073899,"protein_coding","Abl"
"FBgn0000045",5.69565372539578e-06,7.92491170677424e-05,"protein_coding","Act79B"
"FBgn0000055",0.0210409740073314,0.0795589147498367,"protein_coding","Adh"
"FBgn0000056",0.000739347220524814,0.00530448024034712,"protein_coding","Adhr"
"FBgn0000064",0.00392512853997464,0.021352099360772,"protein_coding","Ald1"
"FBgn0000078",1.24316688981544e-06,2.00717534664964e-05,"protein_coding","Amy-d"
"FBgn0000079",2.55594820658298e-77,2.29222082344919e-74,"protein_coding","Amy-p"
"FBgn0000100",0.0125854981275585,0.0540748863363955,"protein_coding","RpLP0"
"FBgn0000108",1.44608732601218e-08,3.40469008857044e-07,"protein_coding","Appl"
"FBgn0000181",0.0125849752309545,0.0540748863363955,"protein_coding","bic"
"FBgn0000251",6.073723621576e-06,8.42718474357907e-05,"protein_coding","cad"
"FBgn0000253",0.00478761858340403,0.0250588284815475,"protein_coding","Cam"
"FBgn0000256",0.00207799893846004,0.012576355538594,"protein_coding","capu"
"FBgn0000307",0.0244477144751236,0.0888639289967186,"protein_coding","chif"
"FBgn0000318",4.00499135360915e-05,0.000440459751430929,"protein_coding","cl"
"FBgn0000339",0.0116382264713497,0.0508238619477049,"protein_coding","cni"
"FBgn0000370",0.0210989260455225,0.0797169304630713,"protein_coding","crc"
"FBgn0000392",0.0117548878049208,0.05119761441986,"protein_coding","cup"
"FBgn0000395",0.000350573374410665,0.00283681793363616,"protein_coding","cv-2"
"FBgn0000406",0.000885496472659177,0.00615604136912106,"protein_coding","Cyt-b5-r"
"FBgn0000411",0.00323427346251399,0.0181490942592153,"protein_coding","D"
"FBgn0000426",0.01035553080976,0.0462041209580652,"protein_coding","SmF"
"FBgn0000473",3.12942919832011e-05,0.000352418025587076,"protein_coding","Cyp6a2"
"FBgn0000477",2.17244208008951e-05,0.000258229091904518,"protein_coding","DNaseII"
"FBgn0000479",0.026676364798674,0.0951762527084699,"protein_coding","dnc"
"FBgn0000489",0.00100441639382555,0.00687617468777867,"protein_coding","Pka-C3"
"FBgn0000504",0.00904178106165492,0.0417004068131023,"protein_coding","dsx"
"FBgn0000524",0.00245849018719147,0.0144621381613857,"protein_coding","dx"
"FBgn0000527",0.0283395654174278,0.0999177315378574,"protein_coding","e"
"FBgn0000533",2.56241264532052e-05,0.000294961502288062,"protein_coding","ea"
"FBgn0000559",0.000810517500598714,0.0057194242799759,"protein_coding","eEF2"
"FBgn0000565",5.76077617776736e-15,3.28497439269798e-13,"protein_coding","MsrA"
"FBgn0000566",3.25749639530966e-08,7.23765809453374e-07,"protein_coding","Eip55E"
"FBgn0000575",3.67995724525657e-06,5.39417209873047e-05,"protein_coding","emc"
"FBgn0000578",0.00813930931493123,0.0385844720767884,"protein_coding","ena"
"FBgn0000592",0.0115506583851974,0.0505982437699698,"protein_coding","Est-6"
"FBgn0000611",0.00883228029345546,0.0409779244613729,"protein_coding","exd"
"FBgn0000635",0.000337029268380846,0.00275003617252031,"protein_coding","Fas2"
"FBgn0000640",0.0168201126202506,0.0672599963513468,"protein_coding","Fbp2"
"FBgn0000667",0.00764902266191479,0.0365235278604983,"protein_coding","Actn"
"FBgn0001085",0.000636491307780196,0.00467186514230032,"protein_coding","fz"
"FBgn0001089",0.0116368188417462,0.0508238619477049,"protein_coding","Gal"
"FBgn0001092",0.000135279255356668,0.00125899042839012,"protein_coding","Gapdh2"
"FBgn0001098",2.11426811933673e-08,4.86183100169156e-07,"protein_coding","Gdh"
"FBgn0001104",0.00430629645619847,0.0230127922754051,"protein_coding","Galphai"
"FBgn0001105",0.000732274318087159,0.00526810326838449,"protein_coding","Gbeta13F"
"FBgn0001108",0.026045994735943,0.0933661838917433,"protein_coding","DCTN1-p150"
"FBgn0001114",0.0135807235856278,0.0574255628685033,"protein_coding","Glt"
"FBgn0001124",2.06109992835426e-09,5.7763496571633e-08,"protein_coding","Got1"
"FBgn0001125",0.000200777838746786,0.00176530604210076,"protein_coding","Got2"
"FBgn0001149",6.63213769556437e-11,2.32873091514766e-09,"protein_coding","GstD1"
"FBgn0001186",0.000692495089595508,0.00502683153705643,"protein_coding","Hex-A"
"FBgn0001187",0.0279717223028734,0.0990059506888304,"protein_coding","Hex-C"
"FBgn0001189",0.000393990164675124,0.00310440333428123,"protein_coding","hfw"
"FBgn0001220",0.000800861057222197,0.00567156807573365,"protein_coding","Hsc70-5"
"FBgn0001222",0.00319301137061836,0.0179584134385121,"protein_coding","Hsf"
"FBgn0001226",0.00048437227352877,0.00370126450686391,"protein_coding","Hsp27"
"FBgn0001235",1.22871233996371e-08,2.92783749607294e-07,"protein_coding","hth"
"FBgn0001257",0.000342443825142132,0.00278041838273838,"protein_coding","ImpL2"
"FBgn0001285",4.58033272857825e-13,2.16196087882413e-11,"protein_coding","Jon44E"
"FBgn0001296",4.21224704060149e-10,1.29451143475183e-08,"protein_coding","kar"
"FBgn0001323",0.0188132829645308,0.0730393689276256,"protein_coding","knrl"
"FBgn0001612",2.59839647225094e-10,8.2955278960374e-09,"protein_coding","Grip91"
"FBgn0001942",6.7963790387117e-05,0.000691912066221784,"protein_coding","eIF4A"
"FBgn0001965",0.00210343865294393,0.0127225152123187,"protein_coding","Sos"
"FBgn0001986",0.0128547890238592,0.0550879642573288,"protein_coding","Mtr4"
"FBgn0002021",0.00496379254966525,0.0258405348297877,"protein_coding","l(2)37Bb"
"FBgn0002023",3.14825333810054e-05,0.000354133628054297,"protein_coding","Lim3"
"FBgn0002031",0.000828009182030627,0.00580960923238417,"protein_coding","l(2)37Cc"
"FBgn0002069",0.0105115921875385,0.0467735033514061,"protein_coding","AspRS"
"FBgn0002121",1.96744920480453e-12,8.62617173573188e-11,"protein_coding","l(2)gl"
"FBgn0002174",0.00996699193667728,0.0449774457176049,"protein_coding","CG5504"
"FBgn0002354",0.00705914578910674,0.0343893694861916,"protein_coding","l(3)87Df"
"FBgn0002522",1.12281478032465e-09,3.26742413212467e-08,"protein_coding","lab"
"FBgn0002524",0.000439511286582807,0.00341399908829873,"protein_coding","lace"
"FBgn0002531",0.00186142689947293,0.0115056242877823,"protein_coding","Lcp1"
"FBgn0002563",0.00872016723282151,0.0407191637182321,"protein_coding","Lsp1beta"
"FBgn0002569",0.000855608786546626,0.00597774835643234,"protein_coding","Mal-A2"
"FBgn0002570",6.21124898739594e-06,8.59382486124277e-05,"protein_coding","Mal-A1"
"FBgn0002571",5.1515233616491e-09,1.33736257796496e-07,"protein_coding","Mal-A3"
"FBgn0002578",0.00126732255992005,0.00839633113069933,"protein_coding","Kaz-m1"
"FBgn0002579",0.000358099266593235,0.00287909475545416,"protein_coding","RpL36"
"FBgn0002590",1.27123215518141e-05,0.000161815551107931,"protein_coding","RpS5a"
"FBgn0002593",0.00255386449737665,0.0148724163321255,"protein_coding","RpLP1"
"FBgn0002622",0.00203475677627608,0.0123830201097863,"protein_coding","RpS3"
"FBgn0002626",2.38697995613709e-05,0.000278339920417167,"protein_coding","RpL32"
"FBgn0002632",3.02441460349737e-07,5.52515741916696e-06,"protein_coding","E(spl)m6-BFM"
"FBgn0002641",0.00242218248311858,0.0142866917037549,"protein_coding","mal"
"FBgn0002645",0.0160392314338192,0.0650069918219499,"protein_coding","Map205"
"FBgn0002715",0.0251939165723717,0.0910304113350796,"protein_coding","mei-S332"
"FBgn0002719",8.30053415898134e-15,4.57456812728217e-13,"protein_coding","Men"
"FBgn0002772",2.37899564869595e-05,0.000278066256805516,"protein_coding","Mlc1"
"FBgn0002773",4.36895237063153e-05,0.000475714295102429,"protein_coding","Mlc2"
"FBgn0002780",0.0240752085878626,0.0879486511936145,"protein_coding","mod"
"FBgn0002781",0.0241920670330643,0.0881946567927493,"protein_coding","mod(mdg4)"
"FBgn0002789",0.0199753330752947,0.076403520174666,"protein_coding","Mp20"
"FBgn0002905",0.000336950419577015,0.00275003617252031,"protein_coding","DNApol-theta"
"FBgn0002931",0.00530122243799696,0.0272730500550323,"protein_coding","net"
"FBgn0002932",0.000546262428976522,0.00408248398625256,"protein_coding","neur"
"FBgn0002973",6.90936040231111e-08,1.43496506039577e-06,"protein_coding","numb"
"FBgn0002985",1.98866864976986e-06,3.07495552194038e-05,"protein_coding","odd"
"FBgn0003002",0.00910124969920401,0.0419354639339783,"protein_coding","opa"
"FBgn0003062",0.000820774619563744,0.00576705243731933,"protein_coding","Fib"
"FBgn0003067",0.00994059460782005,0.0449628453948394,"protein_coding","Pepck1"
"FBgn0003068",0.00253419996337808,0.0148015883000147,"protein_coding","per"
"FBgn0003071",0.0241179382679745,0.0879894456411124,"protein_coding","Pfk"
"FBgn0003074",0.0244144332522855,0.088775666801989,"protein_coding","Pgi"
"FBgn0003082",7.30786038412518e-11,2.53845220737306e-09,"protein_coding","phr"
"FBgn0003091",1.99779108003433e-07,3.73261534176868e-06,"protein_coding","Pkc53E"
"FBgn0003116",0.00106441352674554,0.00722673051709891,"protein_coding","pn"
"FBgn0003118",0.00262978509390257,0.0152246654644066,"protein_coding","pnt"
"FBgn0003149",0.0170329998124791,0.0677254237995045,"protein_coding","Prm"
"FBgn0003165",0.000606140576661459,0.00447573112931534,"protein_coding","pum"
"FBgn0003189",4.47318669106671e-05,0.000484390633450857,"protein_coding","r"
"FBgn0003257",4.00276061836342e-06,5.78181016813865e-05,"protein_coding","r-l"
"FBgn0003279",0.0207065585870958,0.0785654617160385,"protein_coding","RpL4"
"FBgn0003301",0.0213882394266894,0.0804710076065183,"protein_coding","rut"
"FBgn0003308",0.0204726181038789,0.0778236126912594,"protein_coding","ry"
"FBgn0003326",5.87088043893728e-05,0.000610930754537091,"protein_coding","sca"
"FBgn0003345",0.0214760698861424,0.0807398740193576,"protein_coding","sd"
"FBgn0003356",1.89159004264558e-05,0.000229526885248446,"protein_coding","Jon99Cii"
"FBgn0003357",0.000488102629667948,0.00372400034158879,"protein_coding","Jon99Ciii"
"FBgn0003360",0.000904924231149563,0.00626461581774768,"protein_coding","sesB"
"FBgn0003382",0.00527192516399136,0.027143810930467,"protein_coding","sha"
"FBgn0003388",8.50195545990829e-16,4.99236848880924e-14,"protein_coding","shd"
"FBgn0003390",1.72428864788212e-31,2.98422938795739e-29,"protein_coding","shf"
"FBgn0003410",0.0226265649702353,0.0838508878404849,"protein_coding","sina"
"FBgn0003423",7.18217122615163e-07,1.22793967324065e-05,"protein_coding","slgA"
"FBgn0003429",2.57215712414239e-08,5.78002961951359e-07,"protein_coding","slo"
"FBgn0003462",6.1869265603865e-10,1.85513770572075e-08,"protein_coding","Sod1"
"FBgn0003463",2.87839199942321e-10,9.10106957509935e-09,"protein_coding","sog"
"FBgn0003479",0.0134456650359315,0.0570501013245007,"protein_coding","spn-A"
"FBgn0003515",4.07163727350658e-06,5.8675121399854e-05,"protein_coding","st"
"FBgn0003517",0.000317677568257077,0.00261375246943792,"protein_coding","sta"
"FBgn0003651",1.32024840418567e-05,0.000166763770900021,"protein_coding","svp"
"FBgn0003655",0.0176337361757559,0.0694993237610195,"protein_coding","swa"
"FBgn0003714",0.00152596646982351,0.00977510339273306,"protein_coding","tko"
"FBgn0003721",0.015140841934234,0.0624433134118806,"protein_coding","Tm1"
"FBgn0003866",0.0225723906440763,0.0837130201894035,"protein_coding","tsh"
"FBgn0003885",0.0253247891219831,0.0914454775579659,"protein_coding","alphaTub84D"
"FBgn0003892",0.000540359337992224,0.00404756633963044,"protein_coding","ptc"
"FBgn0003941",0.000282811433212808,0.00236836569494427,"protein_coding","RpL40"
"FBgn0003942",0.00239218411679058,0.0141310756360114,"protein_coding","RpS27A"
"FBgn0003961",0.0151040631099223,0.0623959726044317,"protein_coding","Uro"
"FBgn0003997",2.28156418622216e-14,1.21008767188611e-12,"protein_coding","hid"
"FBgn0004045",0.00211054292599299,0.01274985056027,"protein_coding","Yp1"
"FBgn0004047",0.019429259312992,0.0747250070653671,"protein_coding","Yp3"
"FBgn0004055",0.0137349239115796,0.0578791219084718,"protein_coding","uzip"
"FBgn0004087",2.87739117656564e-13,1.37793514353495e-11,"protein_coding","Dhfr"
"FBgn0004108",1.3632308271812e-05,0.000171534083037532,"protein_coding","Nrt"
"FBgn0004117",0.0125436920465813,0.0539887825207586,"protein_coding","Tm2"
"FBgn0004169",0.00581809992046139,0.0293583405193615,"protein_coding","up"
"FBgn0004198",3.77944175575542e-08,8.30382915824661e-07,"protein_coding","ct"
"FBgn0004240",4.30425509986827e-07,7.66452645490983e-06,"protein_coding","DptA"
"FBgn0004390",0.000283444966577047,0.00237165784163067,"protein_coding","RasGAP1"
"FBgn0004403",0.000361516668915687,0.00289712586421873,"protein_coding","RpS14a"
"FBgn0004425",3.24934598139631e-19,2.48486807026935e-17,"protein_coding","LysB"
"FBgn0004427",3.4414739463982e-70,2.26334269874789e-67,"protein_coding","LysD"
"FBgn0004428",4.43104485028265e-05,0.000480354477450971,"protein_coding","LysE"
"FBgn0004435",0.0248086416872037,0.0899769302368619,"protein_coding","Galphaq"
"FBgn0004465",0.00158937995650284,0.0101418067728981,"protein_coding","Su(P)"
"FBgn0004513",0.00043625753166216,0.00339139523234611,"protein_coding","Mdr65"
"FBgn0004552",0.000830862157315798,0.00582134600988661,"protein_coding","Akh"
"FBgn0004595",0.000564279909550293,0.00420122362846313,"protein_coding","pros"
"FBgn0004607",0.000138804226262421,0.00128693956022442,"protein_coding","zfh2"
"FBgn0004611",0.0143305818521552,0.0598776747020376,"protein_coding","Plc21C"
"FBgn0004620",5.25306543285572e-05,0.000554833945343916,"protein_coding","GluRIIA"
"FBgn0004629",0.00675874413070183,0.0332212311157815,"protein_coding","Cys"
"FBgn0004644",0.0125928263489057,0.0540828175585351,"protein_coding","hh"
"FBgn0004654",0.00137392314140405,0.00895227991410232,"protein_coding","Pgd"
"FBgn0004657",0.0171518179711197,0.0680175907804911,"protein_coding","mys"
"FBgn0004687",0.00419080639780665,0.0225421510983439,"protein_coding","Mlc-c"
"FBgn0004839",9.79908305444338e-27,1.27194676752742e-24,"protein_coding","otk"
"FBgn0004852",1.55781353357603e-09,4.42876959905692e-08,"protein_coding","Ac76E"
"FBgn0004855",0.0255747591668771,0.0922130844960683,"protein_coding","RpII15"
"FBgn0004867",6.14044408494922e-09,1.56931297663275e-07,"protein_coding","RpS2"
"FBgn0004888",0.0146088184029925,0.0608084360951564,"protein_coding","Scsalpha1"
"FBgn0004892",0.0092803917564657,0.0426017052943388,"protein_coding","sob"
"FBgn0004901",9.97636767309441e-05,0.000974424426683924,"protein_coding","Prat"
"FBgn0004910",0.00184221816887154,0.0114370561585386,"protein_coding","Eip63F-1"
"FBgn0004911",6.389327058306e-25,7.41537781531632e-23,"ncRNA","asRNA:Eig63F-2"
"FBgn0004926",0.0184768772329134,0.0721593008324189,"protein_coding","eIF2beta"
"FBgn0005278",0.00146058798270682,0.00942361049666633,"protein_coding","Sam-S"
"FBgn0005533",0.00642110716404205,0.0318632908316272,"protein_coding","RpS17"
"FBgn0005586",0.00655589900276961,0.0323693411723334,"protein_coding","Rab3"
"FBgn0005593",0.00036927597301321,0.00294393357114907,"protein_coding","RpL7"
"FBgn0005612",0.0134173884498298,0.0569791377776887,"protein_coding","Sox14"
"FBgn0005616",0.00204520074086821,0.0124235870127247,"protein_coding","msl-2"
"FBgn0005631",0.000403265818486874,0.00316485067571441,"protein_coding","robo1"
"FBgn0005636",0.0171018251310959,0.0678673322544405,"protein_coding","nvy"
"FBgn0005649",0.000254628189496403,0.00215799578125603,"protein_coding","Rox8"
"FBgn0005660",5.41343786966982e-09,1.39071782771596e-07,"protein_coding","Ets21C"
"FBgn0005670",7.73125308586011e-20,6.1015049353608e-18,"protein_coding","Cyp4d1"
"FBgn0005677",0.0114058983526353,0.0500752947257442,"protein_coding","dac"
"FBgn0005771",6.15867155909781e-07,1.06775562268014e-05,"protein_coding","noc"
"FBgn0010038",0.0283715089847851,0.0999408532763782,"protein_coding","GstD2"
"FBgn0010039",1.16967702781834e-08,2.80750945971482e-07,"protein_coding","GstD3"
"FBgn0010040",7.86984556037768e-05,0.000787041956197425,"protein_coding","GstD4"
"FBgn0010041",3.94620765182002e-41,1.25578511242595e-38,"protein_coding","GstD5"
"FBgn0010044",2.37907817590554e-16,1.48541811426001e-14,"protein_coding","GstD8"
"FBgn0010053",4.22968818660435e-05,0.000462592837703458,"protein_coding","Jheh1"
"FBgn0010078",0.010965553489391,0.0484873084593645,"protein_coding","RpL23"
"FBgn0010114",0.000730046087101707,0.00526070463788045,"protein_coding","hig"
"FBgn0010198",0.00218751603010023,0.0131504239103832,"protein_coding","RpS15Aa"
"FBgn0010213",0.000130031382294622,0.00121935321895099,"protein_coding","Sod2"
"FBgn0010217",0.000495624778041189,0.0037610295656741,"protein_coding","ATPsynbeta"
"FBgn0010222",1.53765663818447e-05,0.000190326006721328,"protein_coding","Nmdmc"
"FBgn0010226",0.000819321382127816,0.00576094471467634,"protein_coding","GstS1"
"FBgn0010235",0.00240568345105299,0.0142023143295259,"protein_coding","Klc"
"FBgn0010263",0.000212836834847084,0.00184989900948589,"protein_coding","Rbp9"
"FBgn0010265",0.00493657919558955,0.0257532277971924,"protein_coding","RpS13"
"FBgn0010333",0.000776541523077807,0.00552313058771634,"protein_coding","Rac1"
