"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",326.81024019965,1.25294860124336,0.491145314721882,2.55107513741195,0.0107391170691955,0.0724138003332968,NA,NA
"FBgn0000015",219.247708383048,-0.902243290986388,0.286528401467264,-3.14887908621328,0.00163897994207609,0.0168597884552457,"protein_coding","Abd-B"
"FBgn0000078",46747.5312354069,-2.32992182013409,0.655971903108236,-3.55186222015617,0.000382515099862077,0.00528503005621764,"protein_coding","Amy-d"
"FBgn0000079",507439.777014531,2.50934372861933,0.162382406412531,15.4532980761744,7.16799470525894e-54,1.17853779612299e-50,"protein_coding","Amy-p"
"FBgn0000108",217.928752370823,-1.66780805261935,0.278225194326587,-5.9944537253576,2.04170591652298e-09,1.22054496883282e-07,"protein_coding","Appl"
"FBgn0000251",2781.46581559667,0.826165141834388,0.220070814909804,3.75408771114421,0.000173973940987978,0.00275040533308719,"protein_coding","cad"
"FBgn0000256",3830.3559894575,-0.741894482549526,0.217935936405116,-3.40418608691702,0.000663615275778554,0.00824504369717309,"protein_coding","capu"
"FBgn0000411",106.561256724594,1.1628836470927,0.344014300319583,3.38033519540439,0.00072397478053058,0.00889416090900893,"protein_coding","D"
"FBgn0000473",12454.7625146429,-1.18803344325401,0.321960083037026,-3.69000228862964,0.000224252034456807,0.00337747529758229,"protein_coding","Cyp6a2"
"FBgn0000565",2910.44884608151,0.666408297937596,0.230939811771832,2.88563627390501,0.00390623310380242,0.0335416322874419,"protein_coding","MsrA"
"FBgn0000566",4160.40514627355,0.855733533370784,0.152610569073837,5.60730189635003,2.05505021646379e-08,1.00361734581264e-06,"protein_coding","Eip55E"
"FBgn0000575",2499.4082004991,0.612622515550065,0.204803245242854,2.99127347725189,0.00277816569265422,0.0255817476089087,"protein_coding","emc"
"FBgn0000592",141.092644942139,1.97791483524216,0.65180133830603,3.03453632111675,0.00240905745848455,0.022763746961638,"protein_coding","Est-6"
"FBgn0001098",16252.1962951607,0.802841570915369,0.154783349152779,5.18687297638793,2.13854487375915e-07,8.37172427763253e-06,"protein_coding","Gdh"
"FBgn0001124",9913.12108484953,0.877449492527391,0.151156222778341,5.80491809334308,6.43974763292566e-09,3.5098403535255e-07,"protein_coding","Got1"
"FBgn0001125",7906.95651237401,0.689773104918507,0.181595660300581,3.79840081958335,0.000145632681969895,0.00235519083218527,"protein_coding","Got2"
"FBgn0001149",15546.9354635455,0.947941121566201,0.185731387708309,5.10382834728476,3.3285021016833e-07,1.25807177138336e-05,"protein_coding","GstD1"
"FBgn0001186",9232.65886637488,0.667486945016736,0.167613391724631,3.98230080633018,6.82513208800631e-05,0.0012485447972824,"protein_coding","Hex-A"
"FBgn0001235",1934.67947349722,0.80235577529977,0.217238563252184,3.69343160481293,0.000221248036706473,0.00334637532339726,"protein_coding","hth"
"FBgn0001285",16116.7869324991,2.51598657302553,0.39308174274176,6.40067013918383,1.54696459571249e-10,1.1739081335926e-08,"protein_coding","Jon44E"
"FBgn0001296",671.996973718453,-1.31659595193816,0.265421900856981,-4.96038928094179,7.03520512339107e-07,2.42665379518367e-05,"protein_coding","kar"
"FBgn0002023",880.207567490475,0.96632203468489,0.256773129519094,3.76333005129742,0.000167665683165577,0.00266777736198132,"protein_coding","Lim3"
"FBgn0002121",13816.0586205745,-1.17203981672012,0.206710854885918,-5.66994808940711,1.42840792387709e-08,7.3011627818899e-07,"protein_coding","l(2)gl"
"FBgn0002522",291.933845742222,-3.52157672096444,0.611691305257549,-5.75711423506617,8.55640113036129e-09,4.51384476743391e-07,"protein_coding","lab"
"FBgn0002524",5777.4890976019,0.624097856266277,0.216755290052606,2.87927393197559,0.003985919515682,0.0340442389802623,"protein_coding","lace"
"FBgn0002569",14084.9184718712,0.752787234457332,0.199320466571385,3.77676837409835,0.000158876354362772,0.00254434291524147,"protein_coding","Mal-A2"
"FBgn0002571",13321.8999380319,1.90459685638039,0.336748133513551,5.6558497786113,1.55077061309519e-08,7.8453087682995e-07,"protein_coding","Mal-A3"
"FBgn0002590",43975.3118374089,-0.638601186015404,0.145610600466686,-4.38567785565522,1.15625136740397e-05,0.000293224157826225,"protein_coding","RpS5a"
