"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",326.81024019965,1.06985552394482,0.490465670152324,2.18130562249658,0.0291608188408802,0.132689796063323,NA,NA
"FBgn0000003",430.100871272352,0.068040592962778,0.206562100708821,0.329395337911919,0.7418568911687,0.877734402247352,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",154.105549821796,0.181609569559379,0.598956311814692,0.30321004383299,0.761729795225464,0.887919701039726,"protein_coding","a"
"FBgn0000014",111.83247813369,-0.338271131192426,0.386584094413133,-0.875025993260145,0.381559762673166,0.631770234771866,"protein_coding","abd-A"
"FBgn0000015",219.247708383048,-0.963245780279885,0.285363829588807,-3.37550060800582,0.000736815292600668,0.00922421682932182,"protein_coding","Abd-B"
"FBgn0000017",952.712658606459,0.363751250036534,0.119231015920552,3.05081062362929,0.00228224472555196,0.0216484079015097,"protein_coding","Abl"
"FBgn0000018",331.511399100215,0.0118376621364121,0.128378852695268,0.092208817012184,0.926532132929229,0.967016450629163,"protein_coding","abo"
"FBgn0000024",2495.88727141539,0.298855657787884,0.293635740579993,1.01777684554878,0.30878401813369,0.563059951735462,"protein_coding","Ace"
"FBgn0000032",898.511724927814,0.146797624042636,0.151205740261236,0.970846898993487,0.3316245242268,0.585025369630686,"protein_coding","Acph-1"
"FBgn0000042",126893.343445856,0.463956714424634,0.271672907568159,1.70777689456661,0.0876777478899739,0.270209616661853,"protein_coding","Act5C"
"FBgn0000043",5078.8756223203,1.05964836575559,0.892495670919194,1.18728684102663,0.235114496791974,0.484926721901071,"protein_coding","Act42A"
"FBgn0000044",10749.2163507712,-0.423728514588162,0.205288377319236,-2.0640648054285,0.039011572344822,0.161287190954712,"protein_coding","Act57B"
"FBgn0000045",162.647463577389,-1.12317590081885,0.279226463859089,-4.02245505420884,5.75946472148873e-05,0.00116190428379318,"protein_coding","Act79B"
"FBgn0000046",1224.58896055436,-0.263160377738835,0.263648918314116,-0.998147003301189,0.318208080599821,0.571893371309389,"protein_coding","Act87E"
"FBgn0000047",41.7478681952178,-3.06962254343281,1.14546518672371,-2.6798043092105,0.0073665211455609,0.0509192447759812,"protein_coding","Act88F"
