"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000015",219.247708383048,-0.963245780279885,0.285363829588807,-3.37550060800582,0.000736815292600668,0.00922421682932182,"protein_coding","Abd-B"
"FBgn0000045",162.647463577389,-1.12317590081885,0.279226463859089,-4.02245505420884,5.75946472148873e-05,0.00116190428379318,"protein_coding","Act79B"
"FBgn0000047",41.7478681952178,-3.06962254343281,1.14546518672371,-2.6798043092105,0.0073665211455609,0.0509192447759812,"protein_coding","Act88F"
"FBgn0000056",104.650260273851,-1.49684580168245,0.503272380855297,-2.97422600290245,0.00293728648279974,0.0261992144238873,"protein_coding","Adhr"
"FBgn0000078",46747.5312354069,-3.07181790043881,0.655966993092278,-4.68288485973666,2.82865418934687e-06,9.23995813837977e-05,"protein_coding","Amy-d"
"FBgn0000079",507439.777014531,2.01893416340441,0.162376932092125,12.4336267312833,1.71665618611742e-35,1.88164591956093e-32,"protein_coding","Amy-p"
"FBgn0000108",217.928752370823,-1.19205280941515,0.278668815275801,-4.27766848700083,1.88861001130818e-05,0.000452212081591146,"protein_coding","Appl"
"FBgn0000251",2781.46581559667,0.609608041863255,0.219810117089818,2.77333932547863,0.00554842322448597,0.0412784276844299,"protein_coding","cad"
"FBgn0000395",1005.51568694525,1.29977153839511,0.333666588845062,3.89542010452435,9.80286722234597e-05,0.00178423035329231,"protein_coding","cv-2"
"FBgn0000477",719.245759006435,-1.0158956375285,0.217758085463544,-4.66524875696786,3.08243912177788e-06,9.93734050207149e-05,"protein_coding","DNaseII"
"FBgn0000504",1136.48896856115,-1.09547839716083,0.381020497302393,-2.8751167061005,0.00403878183106359,0.0328734181216521,"protein_coding","dsx"
"FBgn0000527",44.9848776895006,3.88120033570363,1.58753254843404,2.44480047954424,0.0144932295318632,0.0825018518937278,"protein_coding","e"
"FBgn0000533",252.364871616443,-0.646217517852873,0.207696708186326,-3.11135175658705,0.00186232954140998,0.0187659662165571,"protein_coding","ea"
"FBgn0000566",4160.40514627355,0.608594756655332,0.15236225396522,3.99439323596682,6.48601394164848e-05,0.00127403089069625,"protein_coding","Eip55E"
"FBgn0001085",287.344961544494,0.673738460478176,0.210535906442266,3.20011190425103,0.00137374239214793,0.0148507698273005,"protein_coding","fz"
"FBgn0001114",415.830871375015,-0.850608899351756,0.359391199917465,-2.36680502902436,0.0179423821585871,0.095804402612376,"protein_coding","Glt"
"FBgn0001124",9913.12108484953,0.653740764829274,0.151053458395665,4.32787684421553,1.50553608903772e-05,0.000373168681365756,"protein_coding","Got1"
"FBgn0001125",7906.95651237401,0.695467109818299,0.181538129205556,3.83096990622186,0.000127639117790344,0.00225655895520026,"protein_coding","Got2"
"FBgn0001149",15546.9354635455,0.999590930011253,0.185707437156466,5.38261119380511,7.34129983314649e-08,3.75243123595804e-06,"protein_coding","GstD1"
"FBgn0001235",1934.67947349722,0.898931426202365,0.217070591277823,4.14119398169347,3.45502605105342e-05,0.000740952869427,"protein_coding","hth"
"FBgn0001257",3428.64250795936,1.73960306375065,0.662219874809516,2.62692668994725,0.00861598943084919,0.0571983416792243,"protein_coding","ImpL2"
"FBgn0001285",16116.7869324991,1.47871859000772,0.392961149737895,3.76301471785194,0.000167877317811335,0.00281651316362044,"protein_coding","Jon44E"
"FBgn0001296",671.996973718453,-1.28039237054146,0.265154708510422,-4.82885021252085,1.37323652224904e-06,5.09284898194993e-05,"protein_coding","kar"
"FBgn0001323",296.229768682328,-0.62213727437101,0.251506635437202,-2.47364159315133,0.013374379439451,0.0787691063702594,"protein_coding","knrl"
"FBgn0001612",451.354979819518,-0.708218185367838,0.139117075816597,-5.09080701424107,3.56542767008098e-07,1.53593641770083e-05,"protein_coding","Grip91"
"FBgn0002023",880.207567490475,0.808224363619289,0.256125186776718,3.15558330592405,0.00160177516974984,0.0166331705785076,"protein_coding","Lim3"
"FBgn0002121",13816.0586205745,-0.661910731044643,0.206722838434737,-3.20192358065754,0.00136513208057446,0.0147989318405132,"protein_coding","l(2)gl"
"FBgn0002522",291.933845742222,-3.70479622824537,0.611297607044411,-6.06054430043959,1.35661679465127e-09,1.02946343686421e-07,"protein_coding","lab"
"FBgn0002524",5777.4890976019,0.852378933869011,0.216736749220557,3.9327845274712,8.39674998173303e-05,0.00156882459412493,"protein_coding","lace"
"FBgn0002567",2968.43472606638,-0.677354133305994,0.280427954562896,-2.4154301391307,0.0157166371244714,0.0876949237742708,"protein_coding","Rab32"
"FBgn0002571",13321.8999380319,1.5311977856633,0.336687691262146,4.54782822598378,5.42023463387472e-06,0.000160091660668186,"protein_coding","Mal-A3"
"FBgn0002579",46085.1630082888,-0.617639550878627,0.159369037014344,-3.87553041951955,0.000106392686803147,0.00192934532226662,"protein_coding","RpL36"
