"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",326.81024019965,12.0053320928081,1.27535477742199,9.41332741707816,4.80674061487408e-21,6.77407088081897e-18,NA,NA
"FBgn0000003",430.100871272352,-0.350237564115979,0.206192622021211,-1.69859406550419,0.089395695399981,0.766801354980284,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",154.105549821796,0.129120839172131,0.599557713774097,0.215360150000141,0.8294865367129,0.999672797760423,"protein_coding","a"
"FBgn0000014",111.83247813369,-0.428157237335614,0.387487047879025,-1.10495883586098,0.269177426332207,0.984065186978104,"protein_coding","abd-A"
"FBgn0000015",219.247708383048,-0.474234098952126,0.288012709655418,-1.6465735123964,0.0996457385332951,0.786940915490713,"protein_coding","Abd-B"
"FBgn0000017",952.712658606459,0.0806640718318082,0.119216857201274,0.676616325287147,0.498649418367369,0.999672797760423,"protein_coding","Abl"
"FBgn0000018",331.511399100215,-0.0342295933654887,0.129589631087614,-0.264138365687195,0.791673301805143,0.999672797760423,"protein_coding","abo"
"FBgn0000024",2495.88727141539,0.309351573923028,0.293728203534251,1.05318988847782,0.292253971806351,0.989138735881854,"protein_coding","Ace"
"FBgn0000032",898.511724927814,-0.0553575224842068,0.151318141457392,-0.365835331778737,0.714487953750267,0.999672797760423,"protein_coding","Acph-1"
"FBgn0000042",126893.343445856,0.185266284620128,0.271672826141461,0.681946322167897,0.4952728932651,0.999672797760423,"protein_coding","Act5C"
"FBgn0000043",5078.8756223203,0.359707283498166,0.892465098960523,0.403049132024464,0.686912080695952,0.999672797760423,"protein_coding","Act42A"
"FBgn0000044",10749.2163507712,-0.288823419795479,0.205329137895236,-1.40663630479393,0.159535261943291,0.886376272470518,"protein_coding","Act57B"
"FBgn0000045",162.647463577389,-0.0129723530549005,0.286006083111771,-0.0453569130899602,0.963822823991526,0.999672797760423,"protein_coding","Act79B"
"FBgn0000046",1224.58896055436,-0.155682669489556,0.263898703199582,-0.589933438861259,0.555235274727689,0.999672797760423,"protein_coding","Act87E"
"FBgn0000047",41.7478681952178,-2.05464108675741,1.15002740540345,-1.78660184714173,0.0740018629604177,0.726396396123901,"protein_coding","Act88F"
