"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"A-Beta-Cry2-mCh",326.81024019965,12.0053320928081,1.27535477742199,9.41332741707816,4.80674061487408e-21,6.77407088081897e-18,NA,NA
"FBgn0000565",2910.44884608151,-1.04148059748498,0.230184593143139,-4.52454520636548,6.05255154461932e-06,0.000840963675882671,"protein_coding","MsrA"
"FBgn0001149",15546.9354635455,1.16033856947505,0.185748197328986,6.24683623400085,4.18849806453191e-10,1.5303530891336e-07,"protein_coding","GstD1"
"FBgn0002524",5777.4890976019,0.686488474704089,0.21675775035227,3.16707694921368,0.00153979568316014,0.0759504220718741,"protein_coding","lace"
"FBgn0002569",14084.9184718712,0.614661824291367,0.199300892104442,3.08408967868172,0.00204176039578238,0.0932498440018202,"protein_coding","Mal-A2"
"FBgn0002570",148094.656051093,1.00282625442532,0.239744767472381,4.18289110122432,2.87825281222398e-05,0.00312021582336149,"protein_coding","Mal-A1"
"FBgn0002641",1715.86782565992,0.600700506782604,0.166096554771264,3.61657415236484,0.000298527826364784,0.0205942448048154,"protein_coding","mal"
"FBgn0002719",9166.84775915545,0.72755153578031,0.120390256331186,6.04327590913055,1.51016074736389e-09,4.96591192424824e-07,"protein_coding","Men"
"FBgn0003388",112.837671518874,-1.61235942900354,0.394977240015291,-4.08215781988128,4.46194790542648e-05,0.00427350641621672,"protein_coding","shd"
"FBgn0003515",125.716438525001,3.08688389031141,0.676789014024708,4.56107269229213,5.08929571037175e-06,0.000722647188769865,"protein_coding","st"
"FBgn0003961",273.692351778336,4.2935291773279,1.27634953061759,3.36391331240618,0.000768456764023042,0.0443323156554813,"protein_coding","Uro"
"FBgn0004087",393.883206058801,-0.71598586047321,0.149152561293257,-4.80035913741682,1.58381345360818e-06,0.000269384822755944,"protein_coding","Dhfr"
"FBgn0004198",198.853985675332,1.87510863433441,0.346033307908288,5.41886746587811,5.99777575303572e-08,1.51712968727429e-05,"protein_coding","ct"
"FBgn0004552",98.2616645770604,-3.1769504628761,0.771514489366983,-4.11781049696518,3.82489007042603e-05,0.00393047297341175,"protein_coding","Akh"
"FBgn0010039",142.448048197559,2.26327298040815,0.43916418376058,5.15359190047707,2.55543749766175e-07,5.36370019456025e-05,"protein_coding","GstD3"
"FBgn0010040",24.5109621633204,2.45582036288272,0.717954799977054,3.42057795694271,0.000624882233505547,0.0385278952095764,"protein_coding","GstD4"
"FBgn0010041",904.123522384691,3.29054919131905,0.356539308839716,9.22913437518983,2.72827751259728e-20,2.99049529575246e-17,"protein_coding","GstD5"
"FBgn0010222",615.074761403612,-0.913378599571367,0.216895967201478,-4.21113684756949,2.54088759451905e-05,0.00281638832808207,"protein_coding","Nmdmc"
"FBgn0010226",2929.62751944532,0.89312430327506,0.222013089033012,4.02284526180461,5.74992751447086e-05,0.00540219380288144,"protein_coding","GstS1"
