"","pvalue","padj","gene_biotype","external_gene_name","Cluster"
"FBgn0000045",5.69565372539578e-06,7.92491170677424e-05,"protein_coding","Act79B","3"
"FBgn0000055",0.0210409740073314,0.0795589147498367,"protein_coding","Adh","3"
"FBgn0000056",0.000739347220524814,0.00530448024034712,"protein_coding","Adhr","3"
"FBgn0000392",0.0117548878049208,0.05119761441986,"protein_coding","cup","3"
"FBgn0000406",0.000885496472659177,0.00615604136912106,"protein_coding","Cyt-b5-r","3"
"FBgn0000477",2.17244208008951e-05,0.000258229091904518,"protein_coding","DNaseII","3"
"FBgn0000504",0.00904178106165492,0.0417004068131023,"protein_coding","dsx","3"
"FBgn0000533",2.56241264532052e-05,0.000294961502288062,"protein_coding","ea","3"
"FBgn0000667",0.00764902266191479,0.0365235278604983,"protein_coding","Actn","3"
"FBgn0001089",0.0116368188417462,0.0508238619477049,"protein_coding","Gal","3"
"FBgn0001114",0.0135807235856278,0.0574255628685033,"protein_coding","Glt","3"
"FBgn0001187",0.0279717223028734,0.0990059506888304,"protein_coding","Hex-C","3"
"FBgn0001323",0.0188132829645308,0.0730393689276256,"protein_coding","knrl","3"
"FBgn0001612",2.59839647225094e-10,8.2955278960374e-09,"protein_coding","Grip91","3"
"FBgn0001986",0.0128547890238592,0.0550879642573288,"protein_coding","Mtr4","3"
"FBgn0002354",0.00705914578910674,0.0343893694861916,"protein_coding","l(3)87Df","3"
"FBgn0002531",0.00186142689947293,0.0115056242877823,"protein_coding","Lcp1","3"
"FBgn0002570",6.21124898739594e-06,8.59382486124277e-05,"protein_coding","Mal-A1","3"
"FBgn0002632",3.02441460349737e-07,5.52515741916696e-06,"protein_coding","E(spl)m6-BFM","3"
"FBgn0002985",1.98866864976986e-06,3.07495552194038e-05,"protein_coding","odd","3"
"FBgn0003067",0.00994059460782005,0.0449628453948394,"protein_coding","Pepck1","3"
"FBgn0003257",4.00276061836342e-06,5.78181016813865e-05,"protein_coding","r-l","3"
"FBgn0003423",7.18217122615163e-07,1.22793967324065e-05,"protein_coding","slgA","3"
