Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes
1	nucleobase-containing compound catabolic process (GO:0034655)	4/11	6.68606597350762e-05	0.0141130655399177	0.000774486874539119	0.156610419631657	-4.49815962018333	43.2403577564573	Dis3;PNPase;DNaseII;Mtr4
2	peroxisome organization (GO:0007031)	6/19	2.30119969175891e-06	0.00214241691302755	6.77113874174641e-05	0.0630393016856591	-2.89065432556269	37.5267056082448	Pex14;Pex13;Pex3;Pex6;CG31259;Pex16
3	cellular macromolecule catabolic process (GO:0044265)	4/14	0.000192462872754561	0.029863822422416	0.00161955716605471	0.251301286932823	-3.86789026909397	33.0921501895451	Dis3;PNPase;DNaseII;Mtr4
4	'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	3/9	0.000799517406256873	0.0710275452552503	0.00455410318704587	0.414435414807464	-4.51461034762679	32.1959538722851	r-l;Adk1;CRMP
5	methionine metabolic process (GO:0006555)	3/10	0.00112361141744494	0.0747201592600882	0.00579283859411017	0.414856363932044	-4.54640335739631	30.8755676754068	AhcyL2;CG7560;CG14882
6	pyrimidine nucleobase biosynthetic process (GO:0019856)	3/9	0.000799517406256873	0.0710275452552503	0.00455410318704587	0.414435414807464	-4.30578650681625	30.7067261807516	r-l;Adk1;CRMP
7	glucose transport (GO:0015758)	5/21	7.57951962401596e-05	0.0141130655399177	0.000841087108655518	0.156610419631657	-2.85655468275069	27.1014929711087	Tret1-1;CG3285;CG15406;CG33281;CG6484
8	nucleoside transport (GO:0015858)	2/6	0.00680092423708829	0.250679542425498	0.0215016283372105	0.720564504372752	-5.24461477961079	26.1742819818479	CNT2;Ent2
9	anion transport (GO:0006820)	6/28	2.70229612371351e-05	0.0125791884558864	0.000411822011404624	0.156610419631657	-2.48715158965319	26.1619089304657	CG3036;MFS12;NaPi-T;CG9864;l(2)03659;MFS3
10	nucleoside transmembrane transport (GO:1901642)	2/6	0.00680092423708829	0.250679542425498	0.0215016283372105	0.720564504372752	-5.24163375528248	26.1594045933947	CNT2;Ent2
