Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes
1	Insect hormone biosynthesis	5/27	0.000269783315790881	0.00701436621056291	0.00510104493971821	0.132627168432674	-74.6786919169298	613.701384195374	antdh;Jheh2;CG2680;Eo;Cyp18a1
2	Arachidonic acid metabolism	3/17	0.0056802902213346	0.0632946624662998	0.0330529708685677	0.41084783498216	-58.5061382378999	302.52078701831	GstS1;sPLA2;GIIIspla2
3	Glycine, serine and threonine metabolism	3/27	0.020790304562791	0.124741827376746	0.0910642924348057	0.522073859703603	-75.2708134171437	291.544072665608	CG9514;Spat;ppl
4	Glyoxylate and dicarboxylate metabolism	3/33	0.0352318665519571	0.152671421725147	0.137620959418302	0.587269108073856	-79.7652433391098	266.878894644559	Spat;ppl;CG18003
5	Metabolism of xenobiotics by cytochrome P450	5/64	0.0131563202534011	0.0932902708877533	0.10039881917377	0.522073859703603	-57.3959001865023	248.573206980358	GstD9;Adh;GstS1;Aldh-III;GstE11
6	Peroxisome	14/90	9.6997864933864e-09	7.56583346484139e-07	1.43664351744095e-05	0.00112058194360394	-12.9102216965964	238.208591497882	CG14777;CG5065;CG7970;Sod1;Pex14;Pex13;Pex3;Pex6;Pmp70;Spat;CG17597;CG18003;PMP34;Pex16
7	Galactose metabolism	3/37	0.0470838050489961	0.166933490628259	0.172310595249009	0.587269108073856	-74.8674003303074	228.781761878096	Gal;Hex-C;Mal-A1
8	Glycosaminoglycan degradation	2/15	0.041797714173488	0.155248652644384	0.12280468995927	0.587269108073856	-66.2337972990274	210.286585532593	Gal;CG18278
9	Lysine degradation	3/35	0.0409400369413581	0.155248652644384	0.154653793708576	0.587269108073856	-60.0463814454266	191.887026502702	CG5214;LKRSDH;CG5321
10	Folate biosynthesis	3/40	0.0570940618195692	0.193623340083756	0.199792687099306	0.623353183749834	-57.9122807017544	165.806054315388	Alp4;CG12116;l(3)72Dp
11	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/24	0.0966795194188318	0.251366750488963	0.239651528385366	0.644579972898571	-57.9498658574208	135.391383162958	PIG-X;PIG-Wb
12	Glycolysis / Gluconeogenesis	3/54	0.115135075864305	0.283412937705023	0.336957385433795	0.644970776601886	-60.2091198869499	130.150999879774	Adh;Hex-C;Aldh-III
13	Cysteine and methionine metabolism	3/34	0.0380309524269376	0.155248652644384	0.146054386755272	0.587269108073856	-37.8828257275824	123.852402420661	AhcyL2;CG11334;Gclm
14	Longevity regulating pathway	3/55	0.119905473644433	0.283412937705023	0.346948073190731	0.644970776601886	-50.8049222002666	107.759859805778	Hsc70-4;Ilp3;Sod1
15	Glycerophospholipid metabolism	3/63	0.160465179588732	0.317288612324032	0.425946345455713	0.76987190135008	-56.4436965044014	103.273807205037	sPLA2;GIIIspla2;frj
16	ABC transporters	5/21	7.57951962401596e-05	0.00295601265336622	0.00197930675688413	0.077192963518481	-9.788597153078	92.8690770539367	CG9270;Mdr65;Pmp70;l(2)03659;CG7627
17	Citrate cycle (TCA cycle)	3/43	0.0680216517680154	0.211281627342746	0.22824003543933	0.644579972898571	-34.3062749602502	92.2128387623844	CG5214;SdhC;PCB
18	Alanine, aspartate and glutamate metabolism	2/29	0.132595091190615	0.304188738613763	0.307199150624244	0.644970776601886	-43.352884843648	87.5925625535226	Prat;Spat
19	Histidine metabolism	1/8	0.162712108884119	0.317288612324032	0.281059066429612	0.644970776601886	-46.4665475691796	84.3726951801845	Aldh-III
20	Glycosphingolipid biosynthesis	1/10	0.199080925159131	0.352916185509368	0.331975654459309	0.644970776601886	-48.9128497393045	78.9474856689399	Gal
21	Terpenoid backbone biosynthesis	3/27	0.020790304562791	0.124741827376746	0.0910642924348057	0.522073859703603	-19.8765094577827	76.9870585240492	antdh;Hmgs;Fnta
22	Tyrosine metabolism	3/21	0.0104127035305715	0.081219087538458	0.0529256639133744	0.485294022786832	-14.7747904944155	67.4429105746314	Adh;Faa;Aldh-III
23	RNA degradation	6/58	0.00166789403155765	0.0216826224102494	0.0260478266773369	0.41084783498216	-10.1399427961747	64.857036277336	Rrp4;Dis3;PNPase;Hsp60A;CG9344;Mtr4
24	Starch and sucrose metabolism	3/33	0.0352318665519571	0.152671421725147	0.137620959418302	0.587269108073856	-18.5832459722224	62.1759043959813	Hex-C;Mal-A1;Tps1
25	One carbon pool by folate	2/12	0.0274307575390329	0.142639939202971	0.0880276179771782	0.522073859703603	-16.6363789532359	59.8259219331518	CG7560;CG11089
26	alpha-Linolenic acid metabolism	2/13	0.031954566814746	0.152671421725147	0.0992586372317896	0.522073859703603	-16.5451243591188	56.9721458701538	sPLA2;GIIIspla2
27	Ether lipid metabolism	2/24	0.0966795194188318	0.251366750488963	0.239651528385366	0.644579972898571	-24.1554847851651	56.4357561082515	sPLA2;GIIIspla2
28	Inositol phosphate metabolism	2/47	0.276001907804095	0.470082782463689	0.531632401396434	0.842756722237977	-43.1037061626334	55.4894484103733	norpA;CG17028
29	Phototransduction	4/38	0.00937479671753432	0.081219087538458	0.0622171824085682	0.485294022786832	-8.93567504960165	41.7271933416504	norpA;CaMKII;Ggamma30A;Act79B
30	Circadian rhythm	1/9	0.181097932430455	0.344527773892084	0.306980819658755	0.644970776601886	-23.5766226582537	40.2857837399299	Pdp1
31	Arginine biosynthesis	1/15	0.283255009946069	0.470082782463689	0.444156866163508	0.76987190135008	-26.9311524836035	33.971162893625	CG6726
32	Thiamine metabolism	2/20	0.0704272091142487	0.211281627342746	0.186246067474546	0.605299719292275	-11.8916849984152	31.550728449611	Alp4;Adk1
33	Arginine and proline metabolism	2/53	0.324806167474007	0.496762373783776	0.595024902005839	0.842756722237977	-23.8506660685502	26.8207103858221	slgA;Odc1
34	Butanoate metabolism	1/16	0.298999370726393	0.484890901243453	0.464241377177898	0.770443136593107	-20.0000718909215	24.1463629986557	Hmgs
35	beta-Alanine metabolism	2/19	0.0642915604311982	0.208947571401394	0.173169095970496	0.587269108073856	-8.17228730502202	22.4274279622504	Aldh-III;CRMP
36	Pyrimidine metabolism	4/38	0.00937479671753432	0.081219087538458	0.0622171824085682	0.485294022786832	-4.67390032367273	21.8258543851356	r-l;CG42249;l(2)k01209;CRMP
37	Purine metabolism	8/99	0.00151659111100028	0.0216826224102494	0.036870959549681	0.41084783498216	-3.17581264155231	20.6151213274088	Prat;Adk1;CG42249;CG30016;CG4098;Adgf-A;CG11089;Ady43A
38	Fatty acid biosynthesis	1/10	0.199080925159131	0.352916185509368	0.331975654459309	0.644970776601886	-12.1087831821978	19.5441073631964	ACC
39	Aminoacyl-tRNA biosynthesis	2/64	0.411582962782583	0.534522918720386	0.694271733905759	0.842756722237977	-20.8340720160509	18.4953363561328	GatB;TyrRS-m
40	Synthesis and degradation of ketone bodies	1/7	0.143914451920801	0.317288612324032	0.25417632778119	0.644970776601886	-9.0399619772125	17.5242938994865	Hmgs
41	Nicotinate and nicotinamide metabolism	1/15	0.283255009946069	0.470082782463689	0.444156866163508	0.76987190135008	-12.821410617921	16.1730259740139	CG42249
42	Fatty acid degradation	2/32	0.15537400505962	0.317288612324032	0.347291956631784	0.644970776601886	-7.6741770787861	14.2887048045105	CPT2;Adh
43	Neuroactive ligand-receptor interaction	2/54	0.332870440221755	0.499305660332632	0.604953202634512	0.842756722237977	-11.1609170543631	12.2770303350974	AkhR;CapaR
44	AGE-RAGE signaling pathway in diabetic complications	1/31	0.497696810670943	0.579408227348262	0.691952492924716	0.842756722237977	-16.6639214924219	11.6274878702473	norpA
45	Other glycan degradation	2/22	0.0832326203115768	0.231862299439392	0.21277944227298	0.638338326818939	-4.10362352551725	10.2020838459991	Gal;CG7985
46	Biosynthesis of unsaturated fatty acids	1/25	0.426041999549421	0.534522918720386	0.615501390369134	0.842756722237977	-11.4163500493243	9.74062790243129	CG17597
47	Valine, leucine and isoleucine degradation	2/32	0.15537400505962	0.317288612324032	0.347291956631784	0.644970776601886	-3.32867034645473	6.19771833301804	Hmgs;scu
