"","WT1","WT2","WT3","Ab1","Ab2","Ab3","Wg1","Wg2","Wg3","Wg_Ab1","Wg_Ab2","Cluster","gene_name"
"FBgn0000045",-0.234943962380339,0.770576023089194,-0.185205342147604,1.71905401519193,0.464283188145137,1.54673677010729,-1.24730976847856,-0.347230541336262,-0.853902654920257,-0.725734837124202,-0.906322890146306,"3","Act79B"
"FBgn0000055",0.553821580548565,-1.0449575619017,0.000170647787000947,0.469994701205339,0.286450245089707,2.15235565644471,0.0389182157686328,-0.869866954708795,-1.65554014570295,-0.252386208898849,0.321039824368322,"3","Adh"
"FBgn0000056",0.882402376806947,-0.404637948173342,0.0287159172622766,1.23188040717368,0.600738365304842,1.58758627367051,-0.208913368603044,-1.53871963923708,-0.80211167389963,-1.26087517427795,-0.116065536027203,"3","Adhr"
"FBgn0000392",-0.188791497928994,-0.620285451537164,0.482901223804284,1.95692393428056,1.30731054705844,0.188596865438269,-0.77651028392468,-1.10276849389405,-1.2803403803857,-0.379338802614218,0.412302339703251,"3","cup"
"FBgn0000406",-0.0482890233736673,-0.578820614203924,-0.264886972539315,1.98399229906637,0.978287629066868,0.453322239566282,0.256884032758003,-1.65110794749903,-1.2640300424503,0.284939310943136,-0.150290911334448,"3","Cyt-b5-r"
"FBgn0000477",0.299080655288767,-0.724160311984826,0.512455790652442,1.11042347031382,1.45445689626751,1.05915012824503,-1.12349319714341,0.386221469058042,-0.560687195048331,-1.11980868070757,-1.29363902494144,"3","DNaseII"
"FBgn0000504",0.31828746010837,-0.996740421282772,-0.118174426883287,-0.119621614379208,0.434789904356125,2.72799097884077,-0.1778732014029,-0.416953399064944,-0.260525677161664,-0.745072488656251,-0.646107114474231,"3","dsx"
"FBgn0000533",0.550064483781822,0.920955577121081,-0.243397885576957,1.61180515528318,0.875995124056338,0.745163495170115,-1.06869649343297,-0.745809801341122,-1.37607282331371,-0.149670611919742,-1.12033621982805,"3","ea"
"FBgn0000667",-1.0405357502204,-0.855489332225191,-0.163103391471937,0.896612309023048,0.655668256378801,0.913694895332661,-0.0983393249905585,1.38351584092499,0.834503153131451,-0.890223723595239,-1.63630293228761,"3","Actn"
"FBgn0001089",0.876699847179076,-0.889391223764363,1.23106631554503,1.18025182610464,1.18998758095557,0.00424366166022024,-0.220635106627373,-0.698984996351501,-1.77753231566239,-0.54205542590135,-0.35365016313754,"3","Gal"
"FBgn0001114",-2.15582934186036,-0.0922916844928803,0.270344650117883,1.13933699438095,1.46882338473344,0.855336313708093,0.142156168311621,-0.00593239946781887,-0.802690943046075,-0.205273253635553,-0.61397988874933,"3","Glt"
"FBgn0001187",0.786317846016577,-1.02542318869215,0.890129587764808,0.977490182162596,0.597319073796461,1.41633203270403,-0.120314007247403,-1.66802040716639,-0.373535096230245,-0.433820472871488,-1.04647555023681,"3","Hex-C"
"FBgn0001323",0.25430247376688,-0.169633525011488,-0.164078721491462,1.35729797208596,0.0994148345104498,1.89210149694623,-0.018483555889138,-0.57451353780312,-1.28592381415633,0.169834447430464,-1.56031807038842,"3","knrl"
"FBgn0001612",0.00266590944216029,-0.703107219282329,-0.228605362079519,1.27324945580079,1.5211732425251,1.6374432335131,-0.453323580615395,-0.676754541928838,-1.00325439459167,-0.346176658808597,-1.02331008397482,"3","Grip91"
"FBgn0001986",-0.12270156458548,-0.714767401441933,0.408133337305975,0.902840913535094,0.680038569571084,2.07764715426752,-1.41080520371368,0.037728656632063,-0.00493228512281934,-0.880082988793883,-0.973099187653985,"3","Mtr4"
"FBgn0002354",-0.624645828139371,-0.939965357067937,-0.602902614123796,0.96969155910715,0.537272959093801,1.86291780616062,-0.183575666287969,0.194477864589552,0.746942632276076,-1.72599584154203,-0.234217514066063,"3","l(3)87Df"
"FBgn0002531",-0.950466924682264,-0.922764279568148,-0.158216207812578,1.51921616080404,2.27132210684115,-0.0335593271499001,-0.521685387793506,-0.335610656271341,-0.567445970604828,-0.147565930206259,-0.15322358355637,"3","Lcp1"
"FBgn0002570",0.0109248572461313,0.0509346909561119,-0.0783523516303885,1.45702153506708,1.07093473523784,-0.228702765583844,-1.93053985963608,-0.795377805106535,-1.07508650785768,0.735919612795023,0.782323858512361,"3","Mal-A1"
"FBgn0002632",1.09314120857217,-0.495708687430721,-0.150944043930735,1.87784919426035,-0.116400985605605,1.49038445531033,-0.566748601980897,-0.747133045540983,-0.816419145025984,-0.791839211827664,-0.776181136800274,"3","E(spl)m6-BFM"
"FBgn0002985",0.854117534185191,-0.89552814965528,0.745427707762671,1.80270546442039,1.01418458324148,0.524088008636268,-0.862083222877906,-0.796933001527106,-1.0175820301456,-0.754364651010334,-0.614032243029783,"3","odd"
"FBgn0003067",0.741112284977793,0.700366204345506,-0.443764351657039,0.592001450097456,0.424504536396436,1.6685729967621,-0.499048715762598,-0.742974951128694,-1.32956795174231,0.507957091863809,-1.61915859415247,"3","Pepck1"
"FBgn0003257",0.666879334943926,-0.0893916695245158,0.0592225595667604,1.07340388842685,0.701090953060566,1.7137496847756,-1.04091309431242,-0.981700611563132,0.173077388170518,-0.752251768112497,-1.52316666543166,"3","r-l"
"FBgn0003423",-0.00394660737490213,-0.157552612164633,-0.385860113918994,0.807161283967287,1.36775765045733,1.51395571537911,-0.785815203159449,0.568445124891551,-0.101037043160588,-1.2164547425078,-1.60665345240893,"3","slgA"
"FBgn0003462",0.331245336654736,-0.19435837373865,0.79643309927796,1.12227803706132,1.14752263009271,1.43715245511029,-0.58936466898413,-0.850817960321254,-1.31056145575305,-0.980112512193169,-0.909416587206809,"3","Sod1"
"FBgn0003515",1.6018295543281,-0.0554374031124622,0.0159379974859868,0.715289368602701,0.434978148792944,0.404296204717268,-1.68093110094962,-1.4611091110686,-0.946173645294325,0.831470227206124,0.139849759291887,"3","st"
"FBgn0003651",-0.012751538085761,-0.085904966024838,0.272388296183246,0.928257739031943,0.799663119698196,2.05182946035531,-1.0039651809304,-1.04841604301002,-0.83814447662192,0.113730314819638,-1.17668672541539,"3","svp"
"FBgn0003866",1.25577947330763,0.251705925369842,-0.19946806380208,-0.362005493799175,0.474622427098482,2.22267416442689,-0.384801891931222,-1.02494551789566,-1.02917999994314,-0.460388609154371,-0.743992413677233,"3","tsh"
"FBgn0004045",-1.79028052146415,-0.735473027989746,-0.103021134963566,1.50992934153807,0.898809520670544,0.680389648316007,0.670890882945272,-1.24766685883563,-0.611997979601862,0.212420994012199,0.515999135372863,"3","Yp1"
"FBgn0004047",-1.8750118683798,-0.412728868305173,0.435819070218654,1.38005676022788,1.04277046920064,0.875175831755097,0.717127083262059,-1.06214634078828,-0.486753955909006,-0.693252961511146,0.0789447802290915,"3","Yp3"
"FBgn0004055",0.11140374100971,-0.417463879289511,0.544591113300801,1.57174964954637,0.727945912961364,1.07610064219381,0.644257471859629,-1.43454694277708,-0.890588886613705,-0.632669423061773,-1.3007793991296,"3","uzip"
"FBgn0004513",1.19330859476989,-0.789467872728795,-0.286499576018729,1.52905574345987,0.754710814687838,1.11184399931887,-1.48969859813045,-0.725715797155683,-0.851090311784963,-0.503400762320486,0.0569537659026574,"3","Mdr65"
"FBgn0004607",-0.471447089213898,0.699208937803211,-0.615074636669287,2.00270437187597,1.32795626617145,0.305683895706245,-0.715098960446524,-1.29076902259599,-0.472738004504323,0.0301677093035778,-0.80059346743042,"3","zfh2"
"FBgn0004620",0.704335780531569,-0.0228096536278723,0.168112341574376,0.863726641810985,1.45783627198422,1.16265549790992,-0.602595791501439,-0.572941867501736,-0.63866894223534,-0.560378893958452,-1.95927138498624,"3","GluRIIA"
"FBgn0004901",-0.317299427064121,-0.16859023460025,0.78320759511224,1.61977305340094,1.14466847511012,1.15721577438882,-0.766496567406363,-0.669540138365025,-1.28465694734003,-1.04565128890499,-0.45263029433127,"3","Prat"
"FBgn0010226",0.462655840589399,-0.913083453044588,0.378287024643753,-0.140826404376423,0.406412786983857,0.251525069354671,-0.0674713663791847,-1.35629257898204,-1.73349117153177,1.2266386570644,1.48564559567793,"3","GstS1"
"FBgn0010383",-0.714338655387895,-0.57492792728312,-0.0535553044692909,0.577926994921845,0.0384373691016291,2.61906634680505,0.0135311455376014,0.0981853914577737,-0.388530766630334,-0.310328851110558,-1.30546574294269,"3","Cyp18a1"
"FBgn0010548",0.415902181956556,-0.460026173668686,-0.156940542189889,1.83999304398842,1.15915156112485,0.719335594579944,0.145573382144876,-0.849169299304168,-1.64545322602338,-0.909593714816685,-0.258772807791793,"3","Aldh-III"
"FBgn0010549",-0.0665256084759314,-0.812718564568541,-0.327784980468069,1.14633975356376,1.1004992648991,1.87442831789532,-0.551546370462871,-0.146029909355702,-1.32928723910841,0.149058527956264,-1.0364331918749,"3","l(2)03659"
"FBgn0010611",-1.12657555228204,0.709036524855229,-0.206412678880789,0.852801316169663,1.1914084433451,1.6313297760085,-0.159407128797104,-0.960302675462747,-0.334251435670143,-1.52061877146334,-0.0770078178223918,"3","Hmgs"
"FBgn0011576",0.723585030171895,-1.29139694575641,1.02183484319414,1.38836035875824,1.04108949080237,0.734021571991347,-0.747970389998192,-0.125066415640243,-1.01635575138166,-1.10187906519124,-0.626222726950245,"3","Cyp4d2"
"FBgn0013307",-1.91261942001364,-0.027083164300845,0.226989803061007,0.785236787378018,1.53362731908004,1.34124121629718,0.256289071442257,-0.88646168531403,-0.664644396364252,-0.415488455197033,-0.237087076068695,"3","Odc1"
"FBgn0013750",0.425176326364062,-0.655676143215724,0.0595216406526957,0.324921612133015,1.82811541951892,1.74777437958644,-0.562321047605057,-0.901753918951516,-0.591855162990477,-0.874649760843437,-0.79925334464899,"3","Arf51F"
"FBgn0014000",-0.447612059152503,-0.0835435602610123,-0.321032535566231,1.29712071595648,1.36766851057174,1.46924466841084,-1.01684874513733,0.503088088949273,-0.627618992591273,-1.12546296313706,-1.01500312804291,"3","Hf"
"FBgn0014031",-1.00087267179591,-0.147270098301246,0.0904802475177646,1.43848516255714,1.11216404463311,0.609290691981605,0.0198893408015433,-1.8887617507211,-0.99229071309008,0.854092207556317,-0.095206461139152,"3","Spat"
"FBgn0015011",0.290015031208015,-1.772030739883,-0.778405746478239,1.07290778580317,0.971110850430995,1.10362018681186,-0.0940585496063651,0.674683224344265,0.547128185064433,-0.828220378155099,-1.18674984954006,"3","AhcyL2"
"FBgn0015040",0.525560815007959,-0.214446337615069,0.300455172031523,1.28841760536706,0.654267056052651,1.74432484928444,-1.42283947863422,-0.423400792247338,-1.22301560555666,-0.585979337702454,-0.643343945987913,"3","Cyp9c1"
"FBgn0015245",0.29580826966523,0.616360450886285,0.169893876269421,0.9576534120982,0.576274298459533,1.55425905829118,-1.11302731571384,-2.00658290976207,-0.517895255174129,-0.552284245340068,0.0195403603202504,"3","Hsp60A"
"FBgn0015393",0.376517547244742,-0.180424626158992,-0.232534877712338,0.943064948946499,0.615145780047353,2.0417260964415,-1.12808069540265,-0.829713777627098,0.298086039193545,-0.465508570253039,-1.43827786471955,"3",NA
"FBgn0015550",0.942376810574524,-0.62834357497515,0.07632353149983,0.50937304673345,1.15460562572836,1.82061497415139,-0.935427700362562,-0.169147160870762,-0.476499831415149,-1.00124926181241,-1.2926264592515,"3","tap"
"FBgn0015558",-0.565086919554951,-0.576916456831577,0.0972362519943858,1.51201757782184,1.0997000119142,1.61147507974821,-1.28929213704575,-0.525469259331095,-0.727753841797291,0.218603935255457,-0.854514242173407,"3","tty"
"FBgn0015663",-1.28448118242488,0.955668752681934,0.0810809026243187,1.10693471279039,1.41332003817827,0.919640321922763,-0.607308486804553,-1.59848144164558,-0.494465422546471,-0.0558679374469425,-0.436040257329288,"3","Ugt36A1"
